/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_1580-141083-0000.wav, -23.375752462370052, -23.3451338279465, -26.436829002151413, -33.125015873903116, -25.995348097193414, -22.9718872128125, -22.40236705799454, -22.389002717077283
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_1580-141083-0004.wav, -20.26274444891009, -20.589202232442304, -24.042505750186333, -32.95549123931811, -23.96272436268964, -20.414180881393893, -19.33337468824969, -18.78151051210146
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_1580-141083-0004.wav, -21.474555233164224, -24.991854431430852, -26.735727146069166, -33.00105878985373, -25.533314777197276, -22.091694122160757, -21.533756880315522, -21.821910907145586
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_1284-1180-0011.wav, -18.184212347841537, -20.040645713521194, -24.58928423460788, -39.04856839989483, -24.45175552697964, -20.55113715468298, -18.528005586648668, -17.154583710791776
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_1995-1826-0000.wav, -24.23778765429635, -27.027313486639947, -31.75924690372863, -39.77517432057559, -30.944331820561786, -26.061732998254467, -22.983632466407894, -21.235776549811234
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_1089-134686-0016.wav, -23.84913425768188, -25.882658779458453, -28.469071192639525, -33.27491926172848, -28.747866716269463, -25.27868808135316, -23.386634270018327, -22.00877581326919
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_1320-122612-0013.wav, -18.51548792879302, -22.057159376276502, -25.472165182806748, -35.158623023346514, -25.207244250221144, -21.06004860386884, -18.833407096095517, -17.422501048945826
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_1089-134686-0016.wav, -23.112180384471664, -24.767857994250026, -29.088365042095653, -38.61839185383016, -27.03341511794069, -25.401477532460586, -24.351147661200486, -23.427357050786156
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_1320-122612-0009.wav, -20.36366996858075, -22.448764940161755, -27.3185061204083, -36.902470821888976, -28.484682117283228, -24.106639971335152, -21.596106342942036, -20.07239694325736
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_121-121726-0007.wav, -21.842297244661783, -23.525261253404853, -26.36067680986987, -36.58471093758667, -26.015069909482214, -22.350474119830782, -20.95841411427819, -20.916259388098894
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_3570-5694-0004.wav, -20.814255909208335, -23.543840742172296, -27.949410848857067, -36.765176780002555, -27.974008357723203, -23.402258868071844, -20.70468091279443, -18.826740642053668
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_1284-1180-0001.wav, -21.99849359800625, -23.808705095727106, -27.59868788728963, -34.99929960637297, -25.504341534698547, -21.41987247215002, -20.36122611697541, -19.372456328530518
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_3570-5694-0012.wav, -20.194061724605817, -22.72229742717809, -28.04656446339466, -34.96273977673426, -28.968485795345543, -24.187769255990887, -21.187885290318857, -18.578059680596233
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_1995-1826-0017.wav, -16.11045659609921, -19.102997028646257, -24.283596422152286, -36.04250830052371, -24.487690422751633, -19.654215717083897, -17.42319816541123, -16.071720212366245
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_1995-1826-0015.wav, -21.790064850729284, -23.93617019328716, -27.620505118458787, -34.3780085027331, -26.66658129608114, -22.841292642649794, -20.626703832158817, -19.54707303370921
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_1995-1826-0009.wav, -26.398882482235273, -28.782000698253242, -32.53743752578643, -38.66684822058478, -31.924698208620313, -27.98657352401709, -25.72087728379497, -24.603918579445242
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_1580-141083-0013.wav, -21.064644838331755, -23.3846410316006, -26.043218613046683, -43.15897873705449, -26.830164918845863, -23.817755169404975, -21.386203099507505, -20.322494999619323
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_1284-1180-0017.wav, -18.028471269879297, -20.217937152166208, -24.918472995821716, -36.961490371273776, -24.419128541999125, -20.702494796317094, -18.2357003043889, -17.192572388163022
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_1580-141083-0013.wav, -15.429284724749806, -18.978272481408357, -23.199077987339226, -42.739586517712254, -24.623376471671854, -19.2305189268906, -17.086779593808885, -15.774106665559284
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_121-121726-0003.wav, -23.573234173921396, -24.700782836122144, -28.885097855913887, -42.557913485769426, -27.659189347155934, -23.045596636055933, -21.60942370317025, -22.120120516079496
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_1320-122612-0016.wav, -19.809302163561213, -22.15449760556246, -25.02030610507886, -37.547632810025114, -23.07309505469619, -17.79790230128883, -16.01119593977675, -15.943726140846861
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_3575-170457-0000.wav, -21.25331570568339, -23.60010890440005, -29.090104382646228, -36.54888620985483, -28.098329576775715, -22.43703131114399, -19.586905796391566, -19.76737429164902
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_1089-134686-0016.wav, -19.07148509197465, -20.161269689238246, -25.345894835499166, -31.87119770318492, -25.49956731291068, -22.929451057940877, -20.378734153704883, -19.784629554281864
