/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_1320-122612-0016.wav, -43.98502041587511, -46.36532766343962, -49.58471690853035, -48.86850910287847, -45.78417737848344, -43.336246320794814, -42.33908033719386
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_3575-170457-0000.wav, -39.440300640179665, -42.05190222131545, -46.784571984057365, -45.10771997990253, -41.42832949584169, -38.65736951064819, -37.59308288847035
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_1089-134686-0016.wav, -46.19621872970182, -48.315067848796616, -52.03838416776291, -51.46791184886612, -48.30371345825238, -46.203865134126275, -45.12134879310942
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_121-121726-0000.wav, -40.517680268689006, -43.29276175361726, -46.90863230918508, -45.37411729432843, -41.51819609754304, -38.7119428650913, -37.662848838330106
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_1284-1180-0001.wav, -38.315162995962154, -40.64172273416483, -45.62044224581852, -44.75149664834409, -40.20956066766083, -37.65305918119375, -36.51777594817071
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_3570-5694-0014.wav, -36.942401532951166, -39.83474197493266, -45.086317765853146, -44.40187426253977, -39.86482170430997, -37.08376779676407, -36.122244693727716
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_1284-1180-0001.wav, -41.63509183985071, -44.25076581786938, -49.14890109269038, -48.16569733499699, -43.528368432993894, -40.53737936118924, -39.14082166233634
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_121-121726-0004.wav, -37.139702006217576, -39.82249678503515, -45.03316861743478, -43.68632366937456, -40.613952704152766, -37.94426562143559, -36.55293520719694
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_1320-122612-0009.wav, -40.459546935118624, -42.995734967826905, -47.76605380754097, -47.11134854582241, -42.525441645618855, -39.6491106242735, -38.39554430961581
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_3575-170457-0001.wav, -40.11972120480606, -42.25772711298735, -46.46160023881379, -46.34099658599362, -42.441118649089034, -39.80716868320399, -38.87692111752446
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_1995-1826-0015.wav, -41.74890888295272, -44.540361411453084, -49.56835111287627, -48.91453125560717, -44.74824500018572, -41.78035407654495, -40.04811959471266
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_2300-131720-0008.wav, -37.442350911227365, -40.22490941941168, -44.985364213960366, -44.21190194206738, -40.02239892343954, -37.045563241083336, -35.19472291078758
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_1580-141083-0000.wav, -44.73270427001003, -46.681003713009034, -49.88520643013639, -48.76258716724398, -46.000674694757734, -44.75996615485553, -44.4823333012834
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_1580-141083-0004.wav, -43.68995117162676, -45.53739971187129, -47.70166753670342, -48.032559002505025, -46.295405793005244, -44.179318331419715, -43.18210276232002
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D1_1580-141083-0004.wav, -44.92410422974775, -47.08154231701086, -50.1932219981608, -47.65837768500903, -44.49464229156278, -43.064485211418656, -42.75851994909806
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_1284-1180-0011.wav, -36.82286388690558, -39.35488696737544, -44.2803948420313, -43.35814980796842, -38.68832598363153, -35.7745974661257, -34.477986962277704
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_1580-141083-0014.wav, -38.10960827004476, -39.852618557916436, -43.456382386260685, -42.67773331665271, -40.0000902627442, -38.14192914652143, -37.65979661244532
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_1320-122612-0013.wav, -41.34995798779692, -43.73460778941742, -47.49319017654479, -46.5591793844947, -43.619187474785114, -41.211288963762826, -39.49838322145683
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/D2_1089-134686-0000.wav, -43.16781367200201, -46.08832002016015, -49.569336179258194, -44.84809615962995, -43.566448912252945, -44.00849185516928, -42.198905498217336
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_1320-122612-0009.wav, -37.510588874227324, -40.270648557836275, -45.44802995580457, -44.8609331994578, -40.328568363142836, -37.46218508370301, -35.86485497717184
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_1995-1826-0015.wav, -43.10933763925065, -45.473406376468304, -50.33759378464194, -49.782197276025386, -45.90434658952372, -43.2096882020722, -42.31955402064707
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P1_3575-170457-0000.wav, -38.386596519266185, -40.943996525700854, -45.52996022714021, -43.87399101062908, -39.4909027037215, -37.3278133359342, -37.051445463675684
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_3570-5694-0014.wav, -39.651817114766665, -40.90265919176705, -44.83332210810137, -43.95061551240721, -40.269178191104174, -38.60591117340031, -37.864190036670465
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_1089-134686-0004.wav, -37.28152971329551, -38.659108712466214, -43.13390312808661, -42.870086575482205, -39.180138801883956, -37.548077154885206, -37.126014199610026
/rds/general/user/dtj20/home/signals/NUANCE_SIGNALS/all/P2_1580-141083-0008.wav, -40.62809463782668, -42.14966890482912, -43.55411212261569, -42.21947923924561, -41.326245545271206, -41.036092259406004, -40.57051706387231
